"filename", "language", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/visitorTracking/visitorTracking.middleware.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/visitorTracking/visitorTracking.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/captcha/captcha.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/captcha/captcha.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/captcha/captcha.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/captcha/captcha.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/captcha/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/captcha/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/clientAuth/clientAuth.controller.ts", "TypeScript", 10, 0, 4, 7, 21
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/clientAuth/clientAuth.dal.ts", "TypeScript", 8, 0, 2, 8, 18
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/clientAuth/clientAuth.routes.ts", "TypeScript", 9, 0, 2, 3, 14
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/clientAuth/clientAuth.service.ts", "TypeScript", 12, 0, 4, 6, 22
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/clientAuth/container.ts", "TypeScript", 6, 0, 1, 3, 10
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/employeeAuth/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/employeeAuth/employeeAuth.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/employeeAuth/employeeAuth.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/employeeAuth/employeeAuth.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/employeeAuth/emplyeeAuth.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/employeeAuth/readme.md", "Markdown", 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/index.ts", "TypeScript", 6, 0, 1, 4, 11
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/oauth/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/oauth/oauth.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/oauth/oauth.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/oauth/oauth.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/oauth/oauth.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/oauth/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/password/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/password/password.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/password/password.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/password/password.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/password/password.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/password/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/readme.md", "Markdown", 0, 24, 0, 2, 26
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/sessionAuth/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/sessionAuth/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/sessionAuth/sessionAuth.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/sessionAuth/sessionAuth.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/sessionAuth/sessionAuth.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/sessionAuth/sessionAuth.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/twoFa/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/twoFa/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/twoFa/twoFa.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/twoFa/twoFa.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/twoFa/twoFa.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/auth/twoFa/twoFa.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/client/setting/client.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/client/setting/client.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/client/setting/client.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/client/setting/client.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/client/setting/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/client/setting/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/core/index.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/admin/admin.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/admin/admin.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/admin/admin.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/admin/admin.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/admin/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/admin/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/auditor/auditor.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/auditor/auditor.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/auditor/auditor.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/auditor/auditor.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/auditor/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/auditor/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/finance/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/finance/finance.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/finance/finance.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/finance/finance.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/finance/finance.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/finance/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/index.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/inventory/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/inventory/invanetory.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/inventory/inventory.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/inventory/inventory.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/inventory/inventory.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/inventory/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/superAdmin/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/superAdmin/readme.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/superAdmin/superAdmin.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/superAdmin/superAdmin.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/superAdmin/superAdmin.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/superAdmin/superAdmin.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/support/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/support/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/support/support.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/support/support.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/support/support.routes.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/employee/support/support.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/readme.md", "Markdown", 0, 0, 0, 1, 1
"Total", "-", 51, 25, 14, 132, 222
